frequencies;date_range;0;1;2;3;4
1M_10M;2015.08.12_2015.12.30;155.0;2183.0;2231.0;295.0;272.0
1M_10M;2016.08.03_2016.11.18;226.0;1795.0;1686.0;233.0;181.0
1M_10M;2019.11.21_2021.01.20;486.0;6842.0;6688.0;873.0;873.0
1M_15M;2015.08.12_2015.12.30;83.0;1478.0;1484.0;192.0;189.0
1M_15M;2016.08.03_2016.11.18;144.0;1223.0;1157.0;139.0;126.0
1M_15M;2019.11.21_2021.01.20;231.0;4563.0;4491.0;610.0;639.0
1M_30M;2015.08.12_2015.12.30;26.0;742.0;754.0;98.0;96.0
1M_30M;2016.08.03_2016.11.18;44.0;610.0;574.0;72.0;55.0
1M_30M;2019.11.21_2021.01.20;103.0;2328.0;2276.0;304.0;290.0
1M_3M;2019.11.21_2021.01.20;8104.0;19858.0;19502.0;2348.0;2458.0
1M_5M;2015.08.12_2015.12.30;804.0;4145.0;4271.0;469.0;494.0
1M_5M;2016.08.03_2016.11.18;714.0;3347.0;3199.0;421.0;357.0
1M_5M;2019.11.21_2021.01.20;2175.0;13046.0;12724.0;1653.0;1685.0
